label,nodeType,order,path,price,description,link,imageLink,ingredients
Paneer Handi,ProductType,21,"Inventory,Food,Restaurant,Entree,Vegeterian,",230,,https://drive.google.com/file/d/16FIXd77bHP3EkwponZbxdiXpg0NC_-Vi/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerHandi.jpg,"200 gm paneer,1/2 teaspoon powdered turmeric,1/2 teaspoon garam masala powder,1/2 cup water,2 pinches powdered black pepper,2 chopped onion,2 grated ginger,1/2 teaspoon chilli powder,1 finely chopped tomato,2 stalks chopped coriander leaves,4 tablespoon refined oil,1/2 cup beaten yoghurt (curd)."
Paneer Handi Full,ProductUnit,22,"Inventory,Food,Restaurant,Entree,Vegeterian,Paneer Handi,",230,,https://drive.google.com/file/d/1vQqbWeboGWkXGtN9IBJLxDqjMBpqlTxI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerHandiFull.jpg,"200 gm paneer,1/2 teaspoon powdered turmeric,1/2 teaspoon garam masala powder,1/2 cup water,2 pinches powdered black pepper,2 chopped onion,2 grated ginger,1/2 teaspoon chilli powder,1 finely chopped tomato,2 stalks chopped coriander leaves,4 tablespoon refined oil,1/2 cup beaten yoghurt (curd)."
Paneer Handi Half,ProductUnit,23,"Inventory,Food,Restaurant,Entree,Vegeterian,Paneer Handi,",160,,https://drive.google.com/file/d/1b5o6W19e_ZZHNCZMZm9hFifLbpEQwIhT/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerHandiHalf.png,"200 gm paneer,1/2 teaspoon powdered turmeric,1/2 teaspoon garam masala powder,1/2 cup water,2 pinches powdered black pepper,2 chopped onion,2 grated ginger,1/2 teaspoon chilli powder,1 finely chopped tomato,2 stalks chopped coriander leaves,4 tablespoon refined oil,1/2 cup beaten yoghurt (curd)."
Paneer Kadai,ProductType,24,"Inventory,Food,Restaurant,Entree,Vegeterian,",130,,https://drive.google.com/file/d/1XGINKnRA5noOl2-dVsUXFUaDbO_Zft62/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerKadai.jpg,"1 tablespoon butter,1 tablespoon oil 15 ml,1 medium red onion 150 grams,,1 green chili,2 teaspoons ginger garlic paste,3-4 medium tomatoes 450 grams,,1 tablespoon tomato paste,1/4 teaspoon garam masala,3/4 teaspoon kashmiri red chili powder,1 inch ginger,1/2 cup water,2 tablespoons heavy cream 30 ml,3/4 teaspoon salt or to taste,225 grams paneer."
Gayatri Special Thali,ProductType,25,"Inventory,Food,Restaurant,Entree,Vegeterian,",140,, ,,
Full Thali,ProductType,26,"Inventory,Food,Restaurant,Entree,Vegeterian,",110,, ,,
Malai Kofta Maintain,ProductType,27,"Inventory,Food,Restaurant,Entree,Vegeterian,",120,,https://drive.google.com/file/d/1bn4FnvFi7XOnLFh3UZgrYbMF7YaV4DQe/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-5/MalaiKoftaMaintain.jpg,
Mushroom Masala,ProductType,28,"Inventory,Food,Restaurant,Entree,Vegeterian,",120,,https://drive.google.com/file/d/1lxiJ7KE2cIt_oraf27eM76_VxZCeFywA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/MushroomMasala.jpg,"150 Gram Mushroom ,1 Onion, chopped,2 tbsp Ginger, chopped,2 tbsp Garlic, chopped,1 Tomato, chopped,Green chillies, chopped,A pinch of Turmeric Powder,to taste Red Chilli Powder,to taste Salt,1 tbsp Chaat Masala,Refined Oil."
Veg Kadai,ProductType,29,"Inventory,Food,Restaurant,Entree,Vegeterian,",110,,https://drive.google.com/file/d/1Qw5Oe1JTdDI6JvQhuyRuCTqULE1Jk_i8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Kadai.jpg,"Peas 2/3 cups,Sliced Capsicum and Bell Pepper 1/2 cups,Oil 3 tbsp,Turmeric 1/4 tsp,Red Chilli Powder 1/4 tsp,Ginger Garlic Paste 1 tsp,Cream 3 tbsp,Chopped Coriander Leaves 1/4 cups,Water 2 cups,Salt or as per taste 1 tsp,For Kadai Masala: Coriander Seeds 1 tbsp,Cumin Seeds 1/2 tsp,Cloves 2-3 nos,Dry Red Chili 3-4 nos,kasuri methi 1tsp,Peppercorns 4-6 nos,Cashews 8-10 nos,Tomatoes,pureed 3 nos"
Veg Bhuna,ProductType,30,"Inventory,Food,Restaurant,Entree,Vegeterian,",110,,https://drive.google.com/file/d/12tHTD9SDwoAQIGhjJS9ylmvJ6tWZHFzc/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Bhuna.jpg,
Veg Maratha,ProductType,31,"Inventory,Food,Restaurant,Entree,Vegeterian,",110,,https://drive.google.com/file/d/11npxFNMHAT_8ZUmXoQfJPlwBvEI85GCn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Maratha.jpg,"beetroot grated 1 nos,capsicum finely chopped 2 nos,paneer grated 50 gms,
besan (or u cn even use 2_3 slices of bread soaked n squeezed for binding) 4-5 tbsp,red chilli powder 1 tbsp,amchur powder 1 tsp,garam masala 1 tsp,
chat masala 1 tsp,"
Veg Jaipuri,ProductType,32,"Inventory,Food,Restaurant,Entree,Vegeterian,",130,,https://drive.google.com/file/d/1W2iuySP3g-maGyGMgKdcXvF1XT3J1awp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegJaipuri.jpg,
Veg Kolhapuri,ProductType,33,"Inventory,Food,Restaurant,Entree,Vegeterian,",110,,https://drive.google.com/file/d/1m1uzUXSxt9B7c1QZzLM8f5Xkfl5SnP3e/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegKolhapuri.jpg,"Tomatoes finely chopped 3 nos,ginger garlic paste 1 tbsp,
Coriander seeds 1 tsp,Whole garammasala: Cardamom 2 nos,
cloves 2-3 nos,cinnamon 1 tsp,shahi jeera 1 tsp,star anise 1 nos,
black peppers 4-5 nos,javetri, 1 nos,tej pata 1 nos,poppy seeds 1 tsp,
Cashews( soaked) 8-10 nos,watermelon seeds( soaked) 2 tbsp,turmeric PD 1/2 tsp,dry grated Coconut 1/2 cups
"
Mix Veg,ProductType,34,"Inventory,Food,Restaurant,Entree,Vegeterian,",110,,https://drive.google.com/file/d/1ck00uoIiKEXjtfN1K8Zx7xfA2Dsc5VeU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/MixVeg.jpg,"1/2 Cup Chopped Potatoes,1/2 Cup Chopped Cauliflower,1/4 Cup Chopped Carrots,1/4 Cup Chopped French Beans,1/4 Cup Chopped Capsicum,1/4 Cup Green Peas,1 Small Onion,2 Medium Sized Tomatoes,1-2 Green Chillies,3-4 Cloves of Garlic,1 Inch Piece of Ginger,8-10 Cashews,2 Tablespoons Cream or 1/2 Cup Milk,1 Teaspoon Cumin Seeds,1 Teaspoon Red Chilli Powder,1 Teaspoon Coriander Powder,1/2 Teaspoon Garam Masala,1 Teaspoon Salt, or to taste,1/2 Teaspoon Dried Fenugreek Leaves,1/2 Cup Chopped Coriander Leaves,2 Tablespoons Oil."
Veg Handi,ProductType,35,"Inventory,Food,Restaurant,Entree,Vegeterian,",235,,https://drive.google.com/file/d/1OMBGMs1tQ-dGKZ241ojy_oozXgbRceTn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Handi.jpg,
Veg Handi Full,ProductUnit,36,"Inventory,Food,Restaurant,Entree,Vegeterian,Veg Handi,",235,,https://drive.google.com/file/d/1Ab3KgtV5kMm3t0ISJWEo0Uti6WN1hpu3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-5/VegHandiFull.jpg,
Veg Handi Half,ProductUnit,37,"Inventory,Food,Restaurant,Entree,Vegeterian,Veg Handi,",14,,https://drive.google.com/file/d/1yZkEUgRIBXogBcsmlTu3xZPuUP_9JDfp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-5/VegHandiHalf.jpg,
Baigan Masala,ProductType,38,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,,https://drive.google.com/file/d/1r4aTUAlIRkkqBI_OnVLcGAK3JW2VF6rk/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/baiganmasala.jpg,"4 nos baingan,2 tsp cumin seeds,2 tsp coriander seeds,2 tsp sesame seeds,1/4 cup dessicated coconut,2 tbsp oil,1 nos onion, chopped,7-8 nos curry leaves,1/2 tsp ginger garlic paste,1/2 tsp salt,1/2 tsp turmeric powder,1/2 tsp red chilli powder,1 tsp tamarind paste,2 tsp coriander leaves,1 cup water,"
Dal Tadka,ProductType,39,"Inventory,Food,Restaurant,Entree,Vegeterian,",80,,https://drive.google.com/file/d/14RUwq8nVglapT24psGzGu5oLTx-UOZB7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/DalTadka.jpg,"½ cup toor da,2 tbsp masoor dal ,¼ tsp turmeric,½ tsp salt,1 tsp oil,1½ cup water,2 tbsp ghee / clarified butter,½ tsp cumin / jeera,1 bay leaf / tej patta,pinch hing / asafoetida,2 dried red chilli,2 clove garlic ,1 inch ginger,1 chilli (slit),¼ tsp turmeric,½ tsp kashmiri red chilli powder,½ tsp coriander powder,½ tsp salt,1 tomato ,2 tbsp coriander,1 tsp kasuri methi ,¼ tsp garam masala."
Dal Fry,ProductType,40,"Inventory,Food,Restaurant,Entree,Vegeterian,",80,,https://drive.google.com/file/d/1K8tvnEHHFvnC05dq2Qx-p-dJ1RZDhOaK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/DalFry.jpg,"½ cup toor dal,1.5 cups water ,1 pinch turmeric powder,2 to 3 tablespoons oil (,½ to ¾ teaspoon mustard seeds,1 teaspoon cumin seeds,⅓ cup finely chopped onions,2 green chilies ,2 to 3 dry red chilies,10 to 12 curry leaves,1 to 2 pinches asafoetida powder ,¼ to ½ teaspoon Garam Masala,etc."
Plain Palak,ProductType,41,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,,https://drive.google.com/file/d/1l_lWdGT9y7iznTgTKp31G5fzJjHu45Uv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PlainPalak.jpg,
Methi Masala,ProductType,42,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,,https://drive.google.com/file/d/1dErgRMsOVhFdohv1aCOlsQvMfilDWgAc/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MethiMasala.jpeg.crdownload.jpg,"2 tbsp split fenugreek seeds,1 cup split mustard seeds,¼ tsp turmeric,2 tbsp salt,1 tbsp asofetida hing,2 tbsp oil,2 tbsp kashmiri chilli."
Plain Main,ProductType,43,"Inventory,Food,Restaurant,Entree,Vegeterian,",80,, ,,
Bhendi Masala,ProductType,44,"Inventory,Food,Restaurant,Entree,Vegeterian,",80,,https://drive.google.com/file/d/19fqIuFOUUhUgkG8ydZ2ZF_cSaIi2c7DT/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/BhendiMasala.jpg,
Green Peas,ProductType,45,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,,,,
Methi Fry,ProductType,46,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,,https://drive.google.com/file/d/1ubiSkyXx6gJaU3nPeySsDnRLLxAuRaN4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/MethiFry.jpg,
Methi Lassoni,ProductType,47,"Inventory,Food,Restaurant,Entree,Vegeterian,",110,,https://drive.google.com/file/d/1Y7M8U9C0Ex2V35I7cNdcsZITcHhqDXtw/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-5/MethiLassoni.jpg,
Malai Methi,ProductType,48,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,,https://drive.google.com/file/d/1dhqUgiPWFB4Bozg5t3S1IfQlu37efKWn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MalaiMethi.jpg,
Bhendi Fry,ProductType,49,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,,https://drive.google.com/file/d/1JuaS9-HeNYDddzgv255-ILPSG56AoNGt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/BhendiFry.jpg,
