label,nodeType,order,path,price,link,imageLink,Swiggy,description
Bakra Biryani,ProductType,4,"Inventory,Food,Restaurant,Rice,NonVegeterian,",150,https://drive.google.com/file/d/1XRE3FhmFq0iKqZNZYjNHggkGc7owD6IU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BakraBiryani.jpg,,
Anda Biryani,ProductType,5,"Inventory,Food,Restaurant,Rice,NonVegeterian,",80,https://drive.google.com/file/d/1Tkt9O47bdUtzapPBwOkqlHnDPlXxZv2r/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AndaBiryani.jpg,,
Sada Rice,ProductType,4,"Inventory,Food,Restaurant,Rice,Vegeterian,",40,https://drive.google.com/file/d/1N7OGY-0h3TJFbX47OED9ooZ9cb-VLmTQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Sada-Rice.jpg,,
Roti and naan,ProductClass,1,"Inventory,Food,Restaurant,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Roti.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Roti and naan,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
Non Vegetarian ,ProductLine,3,"Inventory,Food,Restaurant,Roti and naan,",,,,,
Roti,ProductType,4,"Inventory,Food,Restaurant,Roti and naan,Vegeterian,",7,https://drive.google.com/file/d/1x6gZ4Q7wVOFVo1bP4pT594jcrC0bHQhc/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Roti.jpg,,
Roasted,ProductClass,1,"Inventory,Food,Restaurant,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/imgs-2/ChillyCheeseroast.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Roasted,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
Non Vegetarian ,ProductLine,3,"Inventory,Food,Restaurant,Roasted,",,,,,
Papad,ProductType,4,"Inventory,Food,Restaurant,Roasted,Vegeterian,",10,https://drive.google.com/file/d/16hT2z2acPZOT8kC3lLy6aGyloDfdTzJO/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Papad.jpg,,
