label,nodeType,order,path,ingredients,price,link,imageLink,description
Chicken Fry,ProductType,15,"Inventory,Food,Restaurant,Entree,NonVegeterian,"," Gram Chicken, finely chopped, / tsp Ginger garlic paste, tsp Turmeric powder, tsp Chilli powder, tbsp Vegetable oil, cup Water,to taste Salt, tbsp Oil, tsp Garam masala,etc",200,https://drive.google.com/file/d/1mWmrLNgJfrNpnzlbAzFVibM_tkVFr_ge/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenFry.jpg,
Fish Dishes,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1P7z52G8FaSBCb_Suj96SDXhZ1g8Us6-r/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food1415062022/FishDishes.jpg,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Fish Dishes,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,
Vegeterian,ProductLine,3,"Inventory,Food,Restaurant,Fish Dishes,",,,,,
Fish Roasted 1 Piece,ProductType,4,"Inventory,Food,Restaurant,Fish Dishes,NonVegeterian,",,60,https://drive.google.com/file/d/1IKf9EmMAB38DbSPOhNg1t2Wlo2Eq1JMq/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food030822/FishRoasted1Piece.jpg,
Fish Cut Piece,ProductType,5,"Inventory,Food,Restaurant,Fish Dishes,NonVegeterian,",,140,,,
Fish Curry,ProductType,6,"Inventory,Food,Restaurant,Fish Dishes,NonVegeterian,","  White fish, medium Onion, medium Tomato, Garlic cloves, Fresh green chillies,6 tbsp Oil,/ cup Fresh coconut paste,/ tsp Red chilli paste, tsp Coriander powder,/ tsp Turmeric powder, tsp Salt, Whole dry red chillies,8- Curry leaves, cup Water.",100,https://drive.google.com/file/d/1o3z6tzIWwAjT8Y7IZQCcCTBeeBcYqeM1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/FishCurry.jpg,
Rice,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Rice.jpg,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Rice,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,
Vegeterian,ProductLine,3,"Inventory,Food,Restaurant,Rice,",,,,,
Chicken Biryani,ProductType,4,"Inventory,Food,Restaurant,Rice,NonVegeterian,","  chopped chicken,  boiled basmati rice,  garam masala powder, ml ghee, ml water,6  beaten yoghurt ,5  ginger paste,5  garlic paste,salt as required, tablespoon coriander leaves,7  red chilli powder,Etc",80,https://drive.google.com/file/d/1t_vJcJvBj1doCQPhohH0pwo72xfAG-wI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenBiryani.jpg,
Mutton Biryani,ProductType,5,"Inventory,Food,Restaurant,Rice,NonVegeterian,","  chopped Mutton,  boiled basmati rice,  garam masala powder, ml ghee, ml water,6  beaten yoghurt ,5  ginger paste,5  garlic paste,salt as required, tablespoon coriander leaves,7  red chilli powder,Etc",170,https://drive.google.com/file/d/1LoNGcmv8OAlfx8Ryh7Fqaz3YxRdO0wAS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonBiryani.jpg,
Chicken Special  Biryani,ProductType,6,"Inventory,Food,Restaurant,Rice,NonVegeterian,",,100,https://drive.google.com/file/d/1HvSe8ETtaLU11Eb-T1a4qWQBHrh2mHwp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food030822/ChickenSpecialBiryani.jpg,
Roti and Naan,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Roti.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Roti and Naan,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Roti and Naan,",,,,,
Roti 1Piece,ProductType,4,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,","cup whole wheat flour,salt as required,water as required, tablespoon ghee.""",10,https://drive.google.com/file/d/1TQ54GfqLep2xlr5GucWgv3i90_H-309H/view?usp=sharing,,
