label,nodeType,order,path,price,description,link,imageLink,ingredients
Entree,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/Entree.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Entree,",,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Entree,",,,,,
Mutton Fry,ProductType,4,"Inventory,Food,Restaurant,Entree,NonVegeterian,",50,,https://drive.google.com/file/d/19UlcaHpNTF7E8S6xFlTvhyUuq3L1fZAq/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonFry.jpg,
Mutton Masala,ProductType,5,"Inventory,Food,Restaurant,Entree,NonVegeterian,",60,,https://drive.google.com/file/d/1-4YOHkbknBQIIukm4yZwJM6f8unGYrqS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/NonVegeterian/MuttonMasala.jpg,"500 g mutton- washed and cut,3 tbsp oil,3 onions- finely sliced,1 tbsp ginger-garlic paste,1 tsp salt,1 tbsp chilli powder- red,1/4 tsp turmeric powder,1 tbsp coriander powder,	1/2 tsp cumin powder,2 tomatoes- finely chopped,2 tomatoes- finely chopped,1 cup yogurt,	2 tbsp coriander leaves- chopped,1 tsp mutton masala powder,	1/2 tsp garam masala powder,"
Kaleji Fry,ProductType,6,"Inventory,Food,Restaurant,Entree,NonVegeterian,",50,,https://drive.google.com/file/d/18bqErXwY8cSHH_6HPVqM_IDa5q7XQYc-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/KalejiFry.jpg,"250 gm liver,500 ml water,1 tbsp white vinegar,1 tbsp salt,1 tsp chilli powder,1 tsp coriander powder,Â½ tsp turmeric powder,Â½ tsp cumin powder,1 tsp ginger garlic paste,3-4 tbsp oil,Â¼ tsp garam masala powder,Coriander leaves,Mint leaves,1 tbsp water."
Kaleji Masala,ProductType,7,"Inventory,Food,Restaurant,Entree,NonVegeterian,",60,,,https://drive.google.com/file/d/10O8V3c8AlY4cjblRm_y4vLLwQQirm6u4/view?usp=sharing,"250 gm Liver chopped,1 cup Onions finely chopped,1 no Tomato – 1 finely chopped,2 tsp Ginger Garlic Paste,1 inch Cinnamon,2 to 3 nos Green Chillies,4 to 5 nos Black Peppercorns,1/2 tsp Cumin Seeds,50 ml Malt Vinegar,1/4 cup Ghee,Salt as per taste"
Bheja Fry,ProductType,8,"Inventory,Food,Restaurant,Entree,NonVegeterian,",50,,https://drive.google.com/file/d/1u6bBvm_7x10oG_HQMFBsuJlOZu5X90Tb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/bhejafry.jpg,"100 gm brain,1 cup onion,1 teaspoon garlic paste,2 teaspoon red chilli powder,8 sprigs coriander leaves,2 teaspoon lemon juice,2 tablespoon refined oil,1 teaspoon ginger paste,2 teaspoon red chilli powder,8 sprigs coriander leaves,2 teaspoon lemon juice,2 tablespoon refined oil,1 teaspoon ginger paste,1 teaspoon turmeric,1 teaspoon garam masala powder,salt as required"
Bheja Masala,ProductType,9,"Inventory,Food,Restaurant,Entree,NonVegeterian,",50,,https://drive.google.com/file/d/1VaGAVTAcSihVRamtDk1MJQywPEx53MBw/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/bhejaMasala.jpg,"100 gm brain,Onions (finely chopped) - 1,Green chilies (finely chopped) - 1,Ginger garlic paste - 1 tsp,Salt to taste,Garam masala - 1 tsp,Coriander leaves (finely chopped) - 1 tbsp,Oil or ghee - 3 tbsp"
Khima Fry,ProductType,10,"Inventory,Food,Restaurant,Entree,NonVegeterian,",60,,https://drive.google.com/file/d/1L_3N8to80YuFvicJR64EJmKxf5fazN15/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/kheemafry.jpg,
Khima Masala,ProductType,11,"Inventory,Food,Restaurant,Entree,NonVegeterian,",60,,https://drive.google.com/file/d/1FN32J8VBYXjlJT5FmscH-r0df7JnKidA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/kheemamasala.jpg,
Chicken Fry,ProductType,12,"Inventory,Food,Restaurant,Entree,NonVegeterian,",70,,https://drive.google.com/file/d/1mWmrLNgJfrNpnzlbAzFVibM_tkVFr_ge/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenFry.jpg,"500 Gram Chicken, finely chopped,1 1/2 tsp Ginger garlic paste,1 tsp Turmeric powder,2 tsp Chilli powder,4 tbsp Vegetable oil,1 cup Water,to taste Salt,3 tbsp Oil,2 tsp Garam masala,etc"
Chicken Masala,ProductType,13,"Inventory,Food,Restaurant,Entree,NonVegeterian,",90,,https://drive.google.com/file/d/16eM27vE_lLNM8GKZT5a35PjfaUi0laY9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenMasala.jpg,
Paya,ProductType,14,"Inventory,Food,Restaurant,Entree,NonVegeterian,",50,,https://drive.google.com/file/d/1ydePUc6Mn0pqWYZqVs-6_hGQDdkntoVK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/paya.jpg,
Anda Curry,ProductType,15,"Inventory,Food,Restaurant,Entree,NonVegeterian,",60,,https://drive.google.com/file/d/1BCryV9DFuzGTHFf0DaHehExwimD3aw2Z/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AndaCurry.jpg,"5 Hard-Boiled Eggs,2tbsp Salt,3tbsp Kashmiri Chilli Powder,
1 Large Chopped Onion,2tbsp Tamarind Pulp,1tbsp Coriander Powder,
1tbsp Garam Masala,1/2tbsp Turmeric Powder,5tbsp Coriander"
Anda Boil,ProductType,16,"Inventory,Food,Restaurant,Entree,NonVegeterian,",10,,https://drive.google.com/file/d/1KYFACzOeJhQD_LbES5xVbt7IVxQKQTYd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AndaBoil.jpg,
Starters,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Starters.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Starters,",,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Starters,",,,,,
Tandoori Chicken,ProductType,4,"Inventory,Food,Restaurant,Starters,NonVegeterian,",100,,https://drive.google.com/file/d/1dznI7JQb5hVK3qbr2mVGfiBKnPXKLcyI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tandoori-Chicken.jpg,"500gm Chicken Legs,50 g Yoghurt,1 tbsp Oil,1 tbsp Tandoori Masala,1 tsp Salt,1 tsp Turmeric Powder Haldi,1 tsp Chilli Powder,1 tsp Crushed Chillies,2 tsp Ginger Paste,1 tsp Garlic Paste,1 tsp Lemon Juice,1 tsp Cumin Seeds Jeera"
Mutton Kabab,ProductType,5,"Inventory,Food,Restaurant,Starters,NonVegeterian,",60,,https://drive.google.com/file/d/1ATW71Z02EWSQd489rMvad51CU76r7RAz/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/MuttonKabab.jpg,"400 gm mutton,5 green chilli,5 tablespoon rice flour,6 onion,salt as required,1 1/2 cup refined oil,"
Malai Seekh Kabab,ProductType,6,"Inventory,Food,Restaurant,Starters,NonVegeterian,",100,,https://drive.google.com/file/d/1T6D1bCMGE-ZE5hB8HrIIzJS8_jIrVZ7x/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/MalaiSeekhKabab.jpg,"300 gms boneless chicken,300 gms boneless chicken,1 onion chopped,20 gms cashews,1 tbsp fresh cream,1 tsp green cardmom powder,1 tsp kasuri methi,to taste salt,1 tsp garam masala powder,1 tbs curds,1 juice of lemon"
Reshmi Kabab,ProductType,7,"Inventory,Food,Restaurant,Starters,NonVegeterian,",90,,https://drive.google.com/file/d/16e2Pns1fxyHyT4wBRg5zQSqrHNu-EMdx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/grocery20220203/ReshmiKabab.jpg,"400 gm boneless chicken breast,1 cup curd (dahi / yogurt),2 tablespoon ginger-garlic paste,1 teaspoon cashew nuts,1 teaspoon almonds,1 teaspoon lemon juice,2 tablespoon fresh cream,1/2 teaspoon red chili powder,1/2 teaspoon black pepper powder,2 tablespoon fresh coriander leaves, finely chopped,1 tablespoon oil or butter,Salt to taste."
Chicken Seekh Kabab,ProductType,8,"Inventory,Food,Restaurant,Starters,NonVegeterian,",70,,https://drive.google.com/file/d/1xvFpnn92TSHhosVsD1zs1NyvO8YEjXPx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenSeekhKabab.jpg,"1 Cup Meat (minced),1/2 tsp Chilli flakes,1 tsp Ginger & garlic paste,2 tsp Lemon juice,1/2 tsp Coriander powder,1/2 tsp Cumin powder,1/2 tsp Garam masala,3 tsp Onion paste,1 tsp Bread crumbs,1 Egg (yolk and white separated),tsp Olive oil,to taste Salt."
Chicken 65,ProductType,9,"Inventory,Food,Restaurant,Starters,NonVegeterian,",80,,https://drive.google.com/file/d/1KiB00yMYljrQJTd8pi_-yERqqS-9omgS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Chicken65.jpg,
Chicken 65 Full,ProductUnit,10,"Inventory,Food,Restaurant,Starters,NonVegeterian,",80,,https://drive.google.com/file/d/1hyyjd_HBkI44y068fJZaAqh_dpERTtxk/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Chicken65Full.jpg,"250gm chicken Pcs ,1 teaspoon salt,½ teaspoon chili powder,1 teaspoon chopped garli,1 teaspoon finely chopped green chile peppers,4 tablespoons cornstarch,etc"
Chicken 65 Half,ProductUnit,11,"Inventory,Food,Restaurant,Starters,NonVegeterian,",50,,https://drive.google.com/file/d/1AdgxCJCQEy-HrnNALtY3yfFF6WAVbJUF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Chicken65Half.jpg,"250gm chicken Pcs ,1 teaspoon salt,½ teaspoon chili powder,1 teaspoon chopped garli,1 teaspoon finely chopped green chile peppers,4 tablespoons cornstarch,etc"
Chicken 65 Boneless,ProductType,12,"Inventory,Food,Restaurant,Starters,NonVegeterian,",120,,https://drive.google.com/file/d/1MAdJx-4HJQ5vFBOtXhMv0xBLq7Se8xGF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/Chicken65Boneless.jpg,"250gmBoneless chicken Pcs ,1 teaspoon salt,½ teaspoon chili powder,1 teaspoon chopped garli,1 teaspoon finely chopped green chile peppers,4 tablespoons cornstarch,etc"
Chicken 65 Boneless Full,ProductUnit,13,"Inventory,Food,Restaurant,Starters,NonVegeterian,Chicken 65 Boneless,",120,,https://drive.google.com/file/d/14zxILV26SOnVuwD9uEgfz-5Q0nh6vnUm/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/Chicken65BonelessFull.jpg,"250gmBoneless chicken Pcs ,1 teaspoon salt,½ teaspoon chili powder,1 teaspoon chopped garli,1 teaspoon finely chopped green chile peppers,4 tablespoons cornstarch,etc"
Chicken 65 Boneless Half,ProductUnit,14,"Inventory,Food,Restaurant,Starters,NonVegeterian,Chicken 65 Boneless,",80,,https://drive.google.com/file/d/1YfJW99KVDYJVlhQ9azrEEakq_um09vVC/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/Chicken65BonelessHalf.jpg,"250gmBoneless chicken Pcs ,1 teaspoon salt,½ teaspoon chili powder,1 teaspoon chopped garli,1 teaspoon finely chopped green chile peppers,4 tablespoons cornstarch,etc"
Chicken Stick 1pcs,ProductType,15,"Inventory,Food,Restaurant,Starters,NonVegeterian,",25,,https://drive.google.com/file/d/1_zZTPRkI3n2xoCYhf-geeGWzlYaq_AFB/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/ChickenStick1pcs.jpg,
Leg peas 1pcs,ProductType,16,"Inventory,Food,Restaurant,Starters,NonVegeterian,",60,,https://drive.google.com/file/d/1ZrLximGMbDp6g8561YRJ5iMug-bJj0dP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/Legpeas1pcs.jpg,
Chicken Tiranga Stick 1pcs,ProductType,17,"Inventory,Food,Restaurant,Starters,NonVegeterian,",25,,https://drive.google.com/file/d/1hyYRuVVQoxPO94V1J-LyvpwT-47Fyi4J/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/ChickenTirangaStick1pcs.jpg,
Chicken Pakoda 1pcs,ProductType,18,"Inventory,Food,Restaurant,Starters,NonVegeterian,",25,,https://drive.google.com/file/d/1unKFpPhgv_ersJo2Z2RwZ5ZR-eK_-rBK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/ChickenPakoda1pcs.jpg,
Tangadi Farra 1pcs,ProductType,19,"Inventory,Food,Restaurant,Starters,NonVegeterian,",100,,,,
Chicken Manchurian,ProductType,20,"Inventory,Food,Restaurant,Starters,NonVegeterian,",120,,https://drive.google.com/file/d/1bda5swwEFGvjQlk_NAqTfTgkbaWFSX_V/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenManchurian.jpg,"250 gm minced chicken,3 tablespoon all purpose flour,1/4 cup refined oil,
1 teaspoon garlic paste,1/4 teaspoon ground black pepper,1 finely chopped spring onions,2 tablespoon schezwan sauce,1 teaspoon green chilli sauce,1/4 cup corn flour,1 beaten egg,1 cup water,salt as required"
Chicken Manchurian Full,ProductUnit,21,"Inventory,Food,Restaurant,Starters,NonVegeterian,Chicken Manchurian,",120,,https://drive.google.com/file/d/1c43X8YDgvi-QTvwipTyUBd9VTmu5UsBt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/NonVegeterian/ChickenManchurianFull.jpg,"250 gm minced chicken,3 tablespoon all purpose flour,1/4 cup refined oil,
1 teaspoon garlic paste,1/4 teaspoon ground black pepper,1 finely chopped spring onions,2 tablespoon schezwan sauce,1 teaspoon green chilli sauce,1/4 cup corn flour,1 beaten egg,1 cup water,salt as required"
Chicken Manchurian Half,ProductUnit,22,"Inventory,Food,Restaurant,Starters,NonVegeterian,Chicken Manchurian,",80,,https://drive.google.com/file/d/1w7Gi7vKe_wRsVTatAShQpVXKSf2Vu201/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenManchurianHalf.jpg,"250 gm minced chicken,3 tablespoon all purpose flour,1/4 cup refined oil,
1 teaspoon garlic paste,1/4 teaspoon ground black pepper,1 finely chopped spring onions,2 tablespoon schezwan sauce,1 teaspoon green chilli sauce,1/4 cup corn flour,1 beaten egg,1 cup water,salt as required"
Chicken Boneless Liquid,ProductType,23,"Inventory,Food,Restaurant,Starters,NonVegeterian,",120,,,,"250 gm minced chicken,3 tablespoon all purpose flour,1/4 cup refined oil,
1 teaspoon garlic paste,1/4 teaspoon ground black pepper,1 finely chopped spring onions,2 tablespoon schezwan sauce,1 teaspoon green chilli sauce,1/4 cup corn flour,1 beaten egg,1 cup water,salt as required"
Chicken Boneless Liquid Full,ProductUnit,24,"Inventory,Food,Restaurant,Starters,NonVegeterian,Chicken Boneless Liquid,",120,,,,
Chicken Boneless Liquid Half,ProductUnit,25,"Inventory,Food,Restaurant,Starters,NonVegeterian,Chicken Boneless Liquid,",80,,,,
Shawarma,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1Y54uPsTWjJovVUmdEGjBCx5cggJtSNE8/view?usp=sharing,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Shawarma,",,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Shawarma,",,,,,
Chicken Shawarma,ProductType,4,"Inventory,Food,Restaurant,Shawarma,NonVegeterian,",60,,https://drive.google.com/file/d/1zAg5uhTgvHObBrNZkRF4QwOivb_3P1il/view?usp=sharing,,"1/2 c. extra-virgin olive oil
Juice of 1 lemon,3 cloves garlic, minced,2 tsp. kosher salt,1 tsp. ground cumin,1 tsp. ground coriander,1/2 tsp. freshly ground black pepper,1/2 tsp. ground turmeric,1/4 tsp. ground cinnamon,1/4 tsp. cayenne pepper,2 lb. boneless skinless chicken,1 large onion, thinly sliced,1Roti."
Cheese Shawarma,ProductType,5,"Inventory,Food,Restaurant,Shawarma,NonVegeterian,",80,,https://drive.google.com/file/d/1sDpCPop87m-2uL0Y_ThJQGqVpZ1oTugS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/CheeseShawarma.jpg,
Butter Shawarma,ProductType,6,"Inventory,Food,Restaurant,Shawarma,NonVegeterian,",70,,https://drive.google.com/file/d/1AcMrken2qDfXpfzYbHhb81bW-Km262Xo/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/ButterShawarma.jpg,
Bread Shawarma,ProductType,7,"Inventory,Food,Restaurant,Shawarma,NonVegeterian,",60,,https://drive.google.com/file/d/1i8eZQyZi3PFA185U3_p4lLUbOXGzXsC0/view?usp=sharing,,
Chicken Shawarma,ProductType,8,"Inventory,Food,Restaurant,Shawarma,NonVegeterian,",100,,https://drive.google.com/file/d/1zAg5uhTgvHObBrNZkRF4QwOivb_3P1il/view?usp=sharing,,"1/2 c. extra-virgin olive oil
Juice of 1 lemon,3 cloves garlic, minced,2 tsp. kosher salt,1 tsp. ground cumin,1 tsp. ground coriander,1/2 tsp. freshly ground black pepper,1/2 tsp. ground turmeric,1/4 tsp. ground cinnamon,1/4 tsp. cayenne pepper,2 lb. boneless skinless chicken,1 large onion, thinly sliced,1Roti."
Sweets,ProductClass,1,"Inventory,Food,Restaurant,",,,,,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Sweets,",,,,,
Vegeterian,ProductLine,3,"Inventory,Food,Restaurant,Sweets,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
Khubani Meetha,ProductType,4,"Inventory,Food,Restaurant,Sweets,Vegeterian,",40,,https://drive.google.com/file/d/15kKZW_Wp1sKjzedIPP6NFUpnSHBof9Co/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/khubanikameetha.jpg,
Kaddu Kheer,ProductType,5,"Inventory,Food,Restaurant,Sweets,Vegeterian,",30,,https://drive.google.com/file/d/1gZrThW9kxnpdt1RiDFfKmd5NQRYfDx8f/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/KadduKheer.jpg,"1 litre Milk,1 med Bottle guard /kaddu,5-6 tbsp Rice,1/2 tin milk maid,1 tsp Cardamom powder,1 tsp Vanilla essence,1/2 cup Sugar if needed,handful Pista and almonds,3-4 drops Green food color."
Mango Kheer,ProductType,6,"Inventory,Food,Restaurant,Sweets,Vegeterian,",40,,https://drive.google.com/file/d/1nhJH-DvG_4TBKG6jrwcxlN0bf9MnD393/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/MangoKheer.jpg,"1 cup Mango Pulp (Puree),1 Milk,3/4 cup Semiya (Vermicelli),1 tablespoon Ghee,Powder (Elaichi),6 tablespoon Sugar,1 tablespoon Slivered Almonds (Badam),1/4 teaspoon Saffron strands"
Angoori Kheer,ProductType,7,"Inventory,Food,Restaurant,Sweets,Vegeterian,",40,,https://drive.google.com/file/d/1_tqHdLK7lx6V8b6pYQxyfK8ctsFiDI4F/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/AngooriKheer.jpg,"250 Grams Angoori Rosagulla,4 Tbsp Badam Milk Powder,100 Grams Mawa/Khoya or Milk Solids ,2 Tbsp Chopped Nuts: Almonds, Pista, Cashew and Melon Seeds,1/2 Tin Condensed Milk,500 ML Full Fat Milk,Safforn Strands for garnish"
Dry Fruits Sweet,ProductType,8,"Inventory,Food,Restaurant,Sweets,Vegeterian,",60,,,,
Nayab Sweet,ProductType,9,"Inventory,Food,Restaurant,Sweets,Vegeterian,",40,,,,
Roti and Naan,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Roti.jpg,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Roti and Naan,",,,,,
Vegeterian,ProductLine,3,"Inventory,Food,Restaurant,Roti and Naan,",,,,,
Chapati,ProductType,4,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",10,,https://drive.google.com/file/d/1BCZG8M0F-__45K4lUhTp357cF_FXpX8k/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Chapati.jpg,"2 1/2 cup whole wheat flour,salt as required,water as required,
1 tablespoon ghee."
Jawar Roti,ProductType,5,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",10,,https://drive.google.com/file/d/1DXFwHsQJG5Y7m22dCx3D4Xk2AFLUnICm/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/JawarRoti.jpg,"""jowar flour 1 cups,rice flour 2 tbsp,hot water 1/4 cups,salt to taste 1 tsp"
Tandoor Roti,ProductType,6,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",15,,https://drive.google.com/file/d/1gDQg6_Ros55CTHyexhyK3c2jnksU5kWU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tandoor-Roti.jpg,"2½ cup wheat flour,1 tsp sugar,1 tsp baking powder,¼ tsp baking soda,½ tsp salt,½ cup curd,water (for kneading),2 tbsp oil."
Butter Roti,ProductType,7,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",25,,https://drive.google.com/file/d/1PNULLWY7VuyeG2a34qt5BEKw-7DMFTNG/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/ButterRoti.jpg,"2½ cup wheat flour,1 tsp sugar,1 tsp baking powder,¼ tsp baking soda,½ tsp salt,½ cup curd,water (for kneading),2 tbsp oil."
Naan Roti,ProductType,8,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",30,,https://drive.google.com/file/d/1oS01g7e83qbgDXKZhYk14hneXnZk1Y_P/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/NaanRoti.cms,
Butter Naan,ProductType,9,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",35,,https://drive.google.com/file/d/1MtQMs3CTx3V8aidYwZMPC4fkYQr9cYrr/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ButterNaan.jpg,"1 cup maida/ all purpose flour,1/2 cup sour curd,1 tablespoon salt,
1 tablespoon oil,1 pack of butter at room temp
"
Roasted,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/imgs-2/ChillyCheeseroast.jpg,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Roasted,",,,,,
Vegeterian,ProductLine,3,"Inventory,Food,Restaurant,Roasted,",,,,,
Papad,ProductType,4,"Inventory,Food,Restaurant,Roasted,Vegeterian,",10,,https://drive.google.com/file/d/16hT2z2acPZOT8kC3lLy6aGyloDfdTzJO/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Papad.jpg,
Veg Rice,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1B5on8ZsFVss28BiQJJFjEM2_O_oDD_kF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food2/VegRice.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Rice,",,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Veg Rice,",,,,,
