label,nodeType,order,path,price,description,link,imageLink,Zomato,,,,,,,,
Mastani,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1eq3bCCXKRxUzQh-Z-1HSdykhPW8SDxQL/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/mastani.jpg,,,,,,,,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Mastani,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,,,,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Mastani,",,,,,,,,,,,,,
Mango Mastani,ProductType,4,"Inventory,Food,Restaurant,Mastani,Vegeterian,",160,,https://drive.google.com/file/d/1x1W3-4w0CLGLlbwKYCXVTc1dCDP448KA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MangoMastani.jpg,160,,,,,,,,
Papaya Mastani Milkshake,ProductType,5,"Inventory,Food,Restaurant,Mastani,Vegeterian,",110,,,,110,,,,,,,,
Combos,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1uVMx24hivT__Gw6h3iBmUDBY3xZ7lvZ9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220216/Combos.jpg,,,,,,,,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Combos,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,,,,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Combos,",,,,,,,,,,,,,
Sandwich with Butter Dabeli,ProductType,4,"Inventory,Food,Restaurant,Combos,Vegeterian,",100,,,,100,,,,,,,,
Pizza 7inchwith Sandwich and Cold Beverage 200ml,ProductType,5,"Inventory,Food,Restaurant,Combos,Vegeterian,",200,,,,200,,,,,,,,
Pizza 7 inches with Dabeli,ProductType,6,"Inventory,Food,Restaurant,Combos,Vegeterian,",150,,,,150,,,,,,,,
Pav Bhaji with Pulao,ProductType,7,"Inventory,Food,Restaurant,Combos,Vegeterian,",140,,,,140,,,,,,,,
Pulao with Sandwich and Cold Beverage 200ml,ProductType,8,"Inventory,Food,Restaurant,Combos,Vegeterian,",170,,,,170,,,,,,,,
Pulao with Masala Pav and Cold Beverage 200ml,ProductType,9,"Inventory,Food,Restaurant,Combos,Vegeterian,",150,,,,150,,,,,,,,
Lichi Milkshake with Butterscotch Milkshake,ProductType,10,"Inventory,Food,Restaurant,Combos,Vegeterian,",140,,,,140,,,,,,,,
2 Mix Juice and 1 Pineapple Juice,ProductType,11,"Inventory,Food,Restaurant,Combos,Vegeterian,",135,,,,135,,,,,,,,
1 Pav Bhaji 4 Pav With 1 Pulao,ProductType,12,"Inventory,Food,Restaurant,Combos,Vegeterian,",170,,,,170,,,,,,,,
Chocolate Pizza 7 inches with Chocolate Sandwich,ProductType,13,"Inventory,Food,Restaurant,Combos,Vegeterian,",220,,,,220,,,,,,,,
"Butter Pav Bhaji 4 Pav, Serves 1",ProductType,14,"Inventory,Food,Restaurant,Combos,Vegeterian,",90,,,,90,,,,,,,,
"Jain Pav Bhaji 4 Pav, Serves 1",ProductType,15,"Inventory,Food,Restaurant,Combos,Vegeterian,",90,,,,90,,,,,,,,
Bhaji with Pulao,ProductType,16,"Inventory,Food,Restaurant,Combos,Vegeterian,",120,,,,120,,,,,,,,
Bhaji 1 Plate with 4 Pav,ProductType,17,"Inventory,Food,Restaurant,Combos,Vegeterian,",70,,,,70,,,,,,,,
Lassi and Ice Cream Lassi,ProductType,18,"Inventory,Food,Restaurant,Combos,Vegeterian,",130,,,,130,,,,,,,,
Pista Lassi and Mango Lassi,ProductType,19,"Inventory,Food,Restaurant,Combos,Vegeterian,",110,,,,110,,,,,,,,
Rice,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Rice.jpg,,,,,,,,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Rice,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,,,,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Rice,",,,,,,,,,,,,,
Veg Pulao,ProductType,4,"Inventory,Food,Restaurant,Rice,Vegeterian,",80,,https://drive.google.com/file/d/1Q9y5vfasmuYAjDTQOc6uFluyeWQ-5t2O/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegPulao.jpg,80,,,,,,,,
Plain Jeera Rice,ProductType,5,"Inventory,Food,Restaurant,Rice,Vegeterian,",60,,https://drive.google.com/file/d/1sy6h_jjCkLSZnbNrb-7THXoy9L5J-Vgc/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/PlainJeeraRice.jpg,60,,,,,,,,
Paneer Pulao,ProductType,6,"Inventory,Food,Restaurant,Rice,Vegeterian,",110,,https://drive.google.com/file/d/1BMu_LvVdCx-vcZYzgrHSj26qNmwKp4oM/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerPulao.jpg,110,,,,,,,,
Cheese Pulao,ProductType,7,"Inventory,Food,Restaurant,Rice,Vegeterian,",130,,https://drive.google.com/file/d/16kpy4HZx-5r50IXLkMg3JmhfQk-McnUF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220216/CheesePulao.jpg,130,,,,,,,,
Butter Bhaji Pulao,ProductType,8,"Inventory,Food,Restaurant,Rice,Vegeterian,",120,,,,120,,,,,,,,
Pulao with Bhaji,ProductType,9,"Inventory,Food,Restaurant,Rice,Vegeterian,",115,,https://drive.google.com/file/d/1hbYLD89jvZtrwBo1xjW2cFBCTbklgiHD/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/PulaowithBhaji.jpg,115,,,,,,,,
Bhaji Pulao,ProductType,10,"Inventory,Food,Restaurant,Rice,Vegeterian,",115,,https://drive.google.com/file/d/1yLGQ1C6mMXOGqkxjJsLEV9m_aRneQ1AC/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/BhajiPulao.jpg,115,,,,,,,,
Butter Pulao,ProductType,11,"Inventory,Food,Restaurant,Rice,Vegeterian,",105,,https://drive.google.com/file/d/17H5y-9a-WBL6HgYoRqHXaeXU9LJSNj1E/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodlinksgapApril25/ButterPulao.jpg,105,,,,,,,,
Kashmiri Pulao,ProductType,12,"Inventory,Food,Restaurant,Rice,Vegeterian,",90,,https://drive.google.com/file/d/1z_cai95g4sw4LCnZ1gTz9BuyPp3DtYTz/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/KashmiriPulao.jpg,90,,,,,,,,
Sandwiches,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Sandwich.jpg,,,,,,,,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Sandwiches,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,,,,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Sandwiches,",,,,,,,,,,,,,
Grilled Cheese Sandwich,ProductType,4,"Inventory,Food,Restaurant,Sandwiches,Vegeterian,",80,,https://drive.google.com/file/d/1OfyQ37flnH2aDYnNgAriToCsiK2X6gdd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/GrilledCheeseSandwich.jpg,80,,,,,,,,
Paneer Sandwich,ProductType,5,"Inventory,Food,Restaurant,Sandwiches,Vegeterian,",80,,https://drive.google.com/file/d/1Am6p_jqoI5uFJ5DalRvrktOtFYzad90i/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerSandwich.jpg,80,,,,,,,,
Grilled Sandwich,ProductType,6,"Inventory,Food,Restaurant,Sandwiches,Vegeterian,",60,,https://drive.google.com/file/d/1SlsTlyhf9GK7x2o6o_bFGOjVDKwulYzN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/GrilledSandwich.jpg,60,,,,,,,,
Veg Grilled Sandwich,ProductType,7,"Inventory,Food,Restaurant,Sandwiches,Vegeterian,",60,,https://drive.google.com/file/d/1hIiP9PG7moeTEdr58OpsJTWciu9UAXWy/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegGrilledSandwich.jpg,60,,,,,,,,
Veg Sandwich,ProductType,8,"Inventory,Food,Restaurant,Sandwiches,Vegeterian,",50,,https://drive.google.com/file/d/1PlGgNGtrT2Yat2aVQ8fMrdt-7q3J88A0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegSandwich.jpg,50,,,,,,,,
Chocolate Sandwich,ProductType,9,"Inventory,Food,Restaurant,Sandwiches,Vegeterian,",80,,https://drive.google.com/file/d/1Eg5xgm79V5-0vaW7QEk45JaQ6CPTSpRh/view?usp=sharing,,80,,,,,,,,
Paneer Sweet Corn Sandwich,ProductType,10,"Inventory,Food,Restaurant,Sandwiches,Vegeterian,",95,,https://drive.google.com/file/d/1T5icvTFncE9vudpwwKCjSXso9NDXm9tw/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/PaneerSweetCornSandwich.jpg,95,,,,,,,,
Veg Mayonnaise Sandwich,ProductType,11,"Inventory,Food,Restaurant,Sandwiches,Vegeterian,",60,,https://drive.google.com/file/d/1OnSRTkhyWtgGxgNSNvP_tEAUBc2Yyqkz/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/VegMayonnaiseSandwich.jpg,60,,,,,,,,
Yummy Chocolate Sandwich,ProductType,12,"Inventory,Food,Restaurant,Sandwiches,Vegeterian,",59,,https://drive.google.com/file/d/1MKfTJcAU6JAJ8Sodds7lFa4UDmSwOEdh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/YummyChocolateSandwich.jpg,59,,,,,,,,
Snacks,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/Smiley.jpg,,,,,,,,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Snacks,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,,,,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Snacks,",,,,,,,,,,,,,
Jain Pav Bhaji,ProductType,4,"Inventory,Food,Restaurant,Snacks,Vegeterian,",60,,https://drive.google.com/file/d/10p6q0CDEKy_d9FM1iva9H94L0S_ffNc0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/10222/JainPavBhaji.jpg,60,,,,,,,,
Paneer Pav Bhaji,ProductType,5,"Inventory,Food,Restaurant,Snacks,Vegeterian,",70,,https://drive.google.com/file/d/1l_S5glnUXhoJStDBPtxC5PhKpHN411lg/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerPavBhaji.jpg,70,,,,,,,,
Cheese Masala Pav,ProductType,6,"Inventory,Food,Restaurant,Snacks,Vegeterian,",90,,https://drive.google.com/file/d/1fwW3Fn0f7jlSVvxOD86f1Il6glnxtuzd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/CheeseMasalaPav.jpg,90,,,,,,,,
Cheese Pav Bhaji with 4 Pav,ProductType,7,"Inventory,Food,Restaurant,Snacks,Vegeterian,",110,,https://drive.google.com/file/d/1uAGg-maNMZyfsZxwkhMu5LqrVR8cISyD/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/CheesePavBhajiwith4Pav.jpg,110,,,,,,,,
Jain Cheese Pav Bhaji,ProductType,8,"Inventory,Food,Restaurant,Snacks,Vegeterian,",90,,https://drive.google.com/file/d/1lvXr3OI9UnAudVvVbyPaVNvvh6KFDee5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/JainCheesePavBhaji.jpg,90,,,,,,,,
2 Masala Pav,ProductType,9,"Inventory,Food,Restaurant,Snacks,Vegeterian,",70,,https://drive.google.com/file/d/1X3naS2QOliaapNs0x64w4EYpfQAVJLyn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/2MasalaPav.jpg,70,,,,,,,,
Butter Pav Bhaji,ProductType,10,"Inventory,Food,Restaurant,Snacks,Vegeterian,",65,,https://drive.google.com/file/d/1N-maGiocBLWQslkOppBkMkUIx3Hmp7ON/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/ButterPavBhaji.jpg,65,,,,,,,,
Regular Pav Bhaji,ProductType,11,"Inventory,Food,Restaurant,Snacks,Vegeterian,",60,,https://drive.google.com/file/d/1W9lAihgmb0Zch-WWIccT4IfG502nxPTd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/RegularPavBhaji.jpg,60,,,,,,,,
Butter Pav Bhaji with 2 Pav,ProductType,12,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80,,https://drive.google.com/file/d/1fpydphMzJ2I-HEDl1W4QJcDQHnRR18K6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/ButterPavBhajiwith2Pav.jpg,80,,,,,,,,
Khadi Pav Bhaji,ProductType,13,"Inventory,Food,Restaurant,Snacks,Vegeterian,",75,,https://drive.google.com/file/d/1zyPG9lvEB35DdVX33-3wg0a5DxWnR-9y/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/KhadiPavBhaji.jpeg,75,,,,,,,,
Cheese Kadai Pav Bhaji,ProductType,14,"Inventory,Food,Restaurant,Snacks,Vegeterian,",110,,,,110,,,,,,,,
Butter Pav Bhaji 2 Pav,ProductType,15,"Inventory,Food,Restaurant,Snacks,Vegeterian,",75,,https://drive.google.com/file/d/1cWX_5XLrbdLJmsbi7NaazVCeTOW1OeUe/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/ButterPavBhaji2Pav.jpg,75,,,,,,,,
Butter Bhaji,ProductType,16,"Inventory,Food,Restaurant,Snacks,Vegeterian,",50,,https://drive.google.com/file/d/1OyV8PpKXvXyURyHrtmS1J71dc8lf1N80/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/ButterBhaji.jpg,50,,,,,,,,
Extra pav 2,ProductType,17,"Inventory,Food,Restaurant,Snacks,Vegeterian,",15,,https://drive.google.com/file/d/1HXx_DIIDm41unMquJnPCAShY_jNhp2R8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ExtraPav2.jpg,15,,,,,,,,
Paneer pav bhaji,ProductType,18,"Inventory,Food,Restaurant,Snacks,Vegeterian,",90,,https://drive.google.com/file/d/1l_S5glnUXhoJStDBPtxC5PhKpHN411lg/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerPavBhaji.jpg,90,,,,,,,,
Kachche pav ki laadi 12,ProductType,19,"Inventory,Food,Restaurant,Snacks,Vegeterian,",45,,https://drive.google.com/file/d/1IqRMgLZ1gzPDAjn2f2_c9iC4RgBTXirS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/Kachchepavkilaadi12.jpg,45,,,,,,,,
Dabeli,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1ez_eS6pQ_O7svbNLhw87e3bCJ7OFHIMG/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Dabeli.jpg,,,,,,,,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Dabeli,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,,,,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Dabeli,",,,,,,,,,,,,,
Dabeli,ProductType,4,"Inventory,Food,Restaurant,Dabeli,Vegeterian,",18,,https://drive.google.com/file/d/1ez_eS6pQ_O7svbNLhw87e3bCJ7OFHIMG/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Dabeli.jpg,18,,,,,,,,
Butter Dabeli,ProductType,5,"Inventory,Food,Restaurant,Dabeli,Vegeterian,",25,,https://drive.google.com/file/d/177buUU2Fw5gmXR7XvkOEtSoIvFf-BztW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ButterDabeli.jpg,25,,,,,,,,
