label,nodeType,order,path,price,description,link,imageLink,Swiggy,Zomato,,,,,,,,,,,,,,,,
Sandwich,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Sandwich.jpg,,,,,,,,,,,,,,,,,,
Vegeterian,ProductLine ,2,"Inventory,Food,Restaurant,Sandwich,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,,,,,,,,,,,,,,,,,
NonVegeterian,ProductLine ,3,"Inventory,Food,Restaurant,Sandwich,",,,,,,,,,,,,,,,,,,,,,,
Aloo Matar Grilled Sandwich,ProductType,4,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",90,,https://drive.google.com/file/d/1OaxaxwSex2D1IuaG0bV4aDt9BJet06Ch/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/AlooMatarGrilledSandwich.jpg,90,90,,,,,,,,,,,,,,,,
Vegetable Grilled Sandwich,ProductType,5,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",80,,https://drive.google.com/file/d/1q6pl2melAWR8aXr2nLhbtdTlDpQml207/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/VegetableGrilledSandwich.jpg,80,80,,,,,,,,,,,,,,,,
Bread Butter Grilled Sandwich,ProductType,6,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",80,,,,80,80,,,,,,,,,,,,,,,,
Chutney Sandwich Grilled,ProductType,7,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",80,,https://drive.google.com/file/d/1-bLodoP8SQSESKlOiBOGgdmdcIdJ4xE2/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/ChutneySandwichGrilled.jpg,80,80,,,,,,,,,,,,,,,,
Aloo Veg Mixed Grilled Sandwich,ProductType,8,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",80,,https://drive.google.com/file/d/1YfbvfczsQ4HEnX9Me9dSGew26dUdhSDf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/AlooVegMixedGrilledSandwich.jpg,80,80,,,,,,,,,,,,,,,,
Jam Sandwich Grilled,ProductType,9,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",80,,https://drive.google.com/file/d/1RNTkbaUdQ1QW4-x8jmGwzDtrIR-7kT7Q/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/JamSandwichGrilled.jpg,80,80,,,,,,,,,,,,,,,,
Jam Vegetable Grilled Sandwich,ProductType,10,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",80,,,,80,80,,,,,,,,,,,,,,,,
Aloo Cheese Grilled Sandwich,ProductType,11,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",100,,https://drive.google.com/file/d/1EhVuQGTFJUV8lUTyWqoR-y8rXKzVQdx2/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/AlooCheeseGrilledSandwich.jpeg,100,100,,,,,,,,,,,,,,,,
Veg Cheese Grilled Sandwich,ProductType,12,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",100,,https://drive.google.com/file/d/1KvXAGpgMwQFIu7fRr78iTtQNmJEDUBJ-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Cheese-Grilled-Sandwich.png,100,100,,,,,,,,,,,,,,,,
Cheese Sandwich Grilled,ProductType,13,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",100,,https://drive.google.com/file/d/1qq9eIzsij0SXRltPB9tVNeibdzpUa-UP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/CheeseSandwichGrilled.jpg,100,100,,,,,,,,,,,,,,,,
Cheese Jam Grilled Sandwich,ProductType,14,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",100,,https://drive.google.com/file/d/1aExYmJ8rUhRt5xd-L8e92HwICnW2bIeB/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/CheeseJamGrilledSandwich.jpg,100,100,,,,,,,,,,,,,,,,
Cheese Chutney Grilled Sandwich,ProductType,15,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",100,,https://drive.google.com/file/d/1J1cAvaS7qt7TZBOde-lMknowEYiTTq48/view?usp=sharing,,100,100,,,,,,,,,,,,,,,,
3 in 1 Club Sandwich,ProductType,16,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",100,,https://drive.google.com/file/d/1KrnOkwhhCI67lLbGmzqQ2cVSIjAcFwBi/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/3in1ClubSandwich.jpg,100,100,,,,,,,,,,,,,,,,
Cheese Chilli Onion Sandwich,ProductType,17,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",100,,,,100,100,,,,,,,,,,,,,,,,
Cheese Chilli Sandwich,ProductType,18,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",100,,https://drive.google.com/file/d/1lZmdlmsLiELPvn_Xf-WA7MrxGGU9HdMJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/CheeseChilliSandwich.jpg,100,100,,,,,,,,,,,,,,,,
Cheese Onion Sandwich,ProductType,19,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",100,,https://drive.google.com/file/d/1QBVonwIXo5zPrXiwes3OcdTmgg9crG34/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/CheeseOnionSandwich.jpg,100,100,,,,,,,,,,,,,,,,
Cheese Pineapple Grilled Sandwich,ProductType,20,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",110,,https://drive.google.com/file/d/1QPjZG6Saql6-LMNXeS5iZ2G4jOICt4sP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/CheesePineappleGrilledSandwich.jpg,110,110,,,,,,,,,,,,,,,,
3 in 1 Club Double Cheese Sandwich,ProductType,21,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",120,,,,120,120,,,,,,,,,,,,,,,,
Mexican Grilled Sandwich,ProductType,22,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",120,,https://drive.google.com/file/d/1mayyl31cxeIK69OjlcWpDHM_hr5bFmN0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/MexicanGrilledSandwich.jpg,120,120,,,,,,,,,,,,,,,,
Schezwan Grilled Sandwich,ProductType,23,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",120,,https://drive.google.com/file/d/1u6txwP_5DtLV7bRdcNzdwQQNEGotfGJq/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/SchezwanGrilledSandwich.jpg,120,120,,,,,,,,,,,,,,,,
Corn Schezwan Grilled Sandwich,ProductType,24,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",120,,,,120,120,,,,,,,,,,,,,,,,
Traffic Jam Grilled Sandwich,ProductType,25,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",120,,,,120,120,,,,,,,,,,,,,,,,
Special Copisa Sandwich,ProductType,26,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",120,,,,120,120,,,,,,,,,,,,,,,,
Tandoori Paneer Grilled Sandwich,ProductType,27,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",120,,https://drive.google.com/file/d/1J_C_AmvRFk5EP_9MQnpgJELBRmGcWQM_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/TandooriPaneerGrilledSandwich.jpg,120,120,,,,,,,,,,,,,,,,
Janglee Girlled,ProductType,28,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",120,,,,120,120,,,,,,,,,,,,,,,,
Nepolian Grilled Sandwich,ProductType,29,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",130,,,,130,130,,,,,,,,,,,,,,,,
Pizza,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food1/pizza.jpg,,,,,,,,,,,,,,,,,,
Vegeterian,ProductLine ,2,"Inventory,Food,Restaurant,Pizza,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,,,,,,,,,,,,,,,,,
NonVegeterian,ProductLine ,3,"Inventory,Food,Restaurant,Pizza,",,,,,,,,,,,,,,,,,,,,,,
Italian Pizza,ProductType,4,"Inventory,Food,Restaurant,Pizza,Vegeterian,",140,,https://drive.google.com/file/d/1m6TAMQOI1rWdleb-mUWatEhWT1PqBLoa/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ItalianPizza.jpg,140,140,,,,,,,,,,,,,,,,
Jain Pizza,ProductType,5,"Inventory,Food,Restaurant,Pizza,Vegeterian,",140,,https://drive.google.com/file/d/1ILiSZrIrxMhXWTvSyrcOQ9ItN3sypijD/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220217/JainPizza.jpg,140,140,,,,,,,,,,,,,,,,
Vegetable Cheese Pizza,ProductType,6,"Inventory,Food,Restaurant,Pizza,Vegeterian,",160,,https://drive.google.com/file/d/1-V8HlWZlwv_ljwpo-h243fg0JnlxIEu6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/VegetableCheesePizza.jpg,160,160,,,,,,,,,,,,,,,,
Cadbury Cheese Pizza,ProductType,7,"Inventory,Food,Restaurant,Pizza,Vegeterian,",170,,,,170,170,,,,,,,,,,,,,,,,
Pineapple Jam Pizza,ProductType,8,"Inventory,Food,Restaurant,Pizza,Vegeterian,",170,,,,170,170,,,,,,,,,,,,,,,,
Cheese Bake Pizza,ProductType,9,"Inventory,Food,Restaurant,Pizza,Vegeterian,",170,,https://drive.google.com/file/d/1mQ5kDcLEY9o-ved-0uxA9MtIp_GjXEn3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/CheeseBakePizza.jpg,170,170,,,,,,,,,,,,,,,,
Double Cheese Pizza,ProductType,10,"Inventory,Food,Restaurant,Pizza,Vegeterian,",180,,https://drive.google.com/file/d/1GDbl-RFiNDshRr7wbWbUnUz7x-N67Utt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DoubleCheesePizza.jpg,180,180,,,,,,,,,,,,,,,,
Paneer Capsicum Pizza,ProductType,11,"Inventory,Food,Restaurant,Pizza,Vegeterian,",180,,https://drive.google.com/file/d/1rdzHYMsm_k8PJakWxcE8kg51ZvLc_ZnS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/PaneerCapsicumPizza.jpeg,180,180,,,,,,,,,,,,,,,,
Golden Corn Pizza,ProductType,12,"Inventory,Food,Restaurant,Pizza,Vegeterian,",180,,https://drive.google.com/file/d/1g8tPGH9nypbJpDl8OzpjdAAkOKLDhtig/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/GoldenCornPizza.jpg,180,180,,,,,,,,,,,,,,,,
Mexican Pizza,ProductType,13,"Inventory,Food,Restaurant,Pizza,Vegeterian,",199,,https://drive.google.com/file/d/18WYeiymPBNdiz17l3XV1_nl3GJ1VAc4v/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MexicanPizza.jpg,199,199,,,,,,,,,,,,,,,,
Schezwan Pizza,ProductType,14,"Inventory,Food,Restaurant,Pizza,Vegeterian,",199,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food1/SchezwanPizza.jpg,199,199,,,,,,,,,,,,,,,,
Tandoori Paneer Pizza,ProductType,15,"Inventory,Food,Restaurant,Pizza,Vegeterian,",199,,https://drive.google.com/file/d/1cEBSKoVa2Km5N561EZJ1ubU9rj5WqHtN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tandoori-Paneer-Pizza.jpg,199,199,,,,,,,,,,,,,,,,
Nepolian Pizza,ProductType,16,"Inventory,Food,Restaurant,Pizza,Vegeterian,",210,,https://drive.google.com/file/d/191R_tmbyNlYSDfh_bK4qcg1Gza6gcqLp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/NepolianPizza.jpg,210,210,,,,,,,,,,,,,,,,
Cheese Onion Pizza,ProductType,17,"Inventory,Food,Restaurant,Pizza,Vegeterian,",140,,https://drive.google.com/file/d/1RvhUhqGOaREMPqHhFCbM393UrL-DXirN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/CheeseOnionPizza.png,140,140,,,,,,,,,,,,,,,,
Paneer Onion Pizza,ProductType,18,"Inventory,Food,Restaurant,Pizza,Vegeterian,",180,,https://drive.google.com/file/d/1J14nh3bE3pv3h_5MAvIi0Hn2zq8HX6i-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerOnionPizza.jpg,180,180,,,,,,,,,,,,,,,,
Paradise Pizza,ProductType,19,"Inventory,Food,Restaurant,Pizza,Vegeterian,",200,,https://drive.google.com/file/d/13dTJIZWK0ugDRy4dcagpcQGlmvRCRyVH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/ParadisePizza.jpg,200,200,,,,,,,,,,,,,,,,
Farmhouse Pizza,ProductType,20,"Inventory,Food,Restaurant,Pizza,Vegeterian,",210,,https://drive.google.com/file/d/1RNBJq-WSdu37PLbDj5KUs91fhnD0dIIJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodimagelinks/FarmHousePizza.jpg,210,210,,,,,,,,,,,,,,,,
Loaded Pizza,ProductType,21,"Inventory,Food,Restaurant,Pizza,Vegeterian,",210,,https://drive.google.com/file/d/10vrSn_pAtN8C7FUc6rSkOnWwp4Cs9CHW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/LoadedPizza.jpg,210,210,,,,,,,,,,,,,,,,
Vaganza Pizza,ProductType,22,"Inventory,Food,Restaurant,Pizza,Vegeterian,",210,,,,210,210,,,,,,,,,,,,,,,,
Chats,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1RS7ZhdzhJ-viBy2Zwr7XUEc-IquPs5NQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220511/Chats.jpg,,,,,,,,,,,,,,,,,,
Vegeterian,ProductLine ,2,"Inventory,Food,Restaurant,Chats,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,,,,,,,,,,,,,,,,,
NonVegeterian,ProductLine ,3,"Inventory,Food,Restaurant,Chats,",,,,,,,,,,,,,,,,,,,,,,
Sev Puri,ProductType,4,"Inventory,Food,Restaurant,Chats,Vegeterian,",50,,https://drive.google.com/file/d/1LPPPSg6Ya0T8eVKMt0QfE_vwsyPJtLX1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220306/SevPuri.jpg,50,50,,,,,,,,,,,,,,,,
Cheese Sev Puri,ProductType,5,"Inventory,Food,Restaurant,Chats,Vegeterian,",80,,https://drive.google.com/file/d/1rM9XHRUr9I7D-q79EAl7PlD1qtAh2Cg2/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodlinksgapApril25/CheeseSevPuri.jpg,80,80,,,,,,,,,,,,,,,,
Snacks,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/Smiley.jpg,,,,,,,,,,,,,,,,,,
Vegeterian,ProductLine ,2,"Inventory,Food,Restaurant,Snacks,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,,,,,,,,,,,,,,,,,
NonVegeterian,ProductLine ,3,"Inventory,Food,Restaurant,Snacks,",,,,,,,,,,,,,,,,,,,,,,
French Fry,ProductType,4,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80,,https://drive.google.com/file/d/1Rhs5iq3M6UiTlJW9WR_1HPOEh_Suu0E5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/aprilimages/FrenchFry.jpg,80,80,,,,,,,,,,,,,,,,
Masala French Fry,ProductType,5,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80,,https://drive.google.com/file/d/1vM3UzWbX2hg3PjunS65M5FfBfVA3I3gU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/MasalaFrenchFry.jpg,80,80,,,,,,,,,,,,,,,,
Burger,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Burger.jpg,,,,,,,,,,,,,,,,,,
Vegeterian,ProductLine ,2,"Inventory,Food,Restaurant,Burger,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,,,,,,,,,,,,,,,,,
NonVegeterian,ProductLine ,3,"Inventory,Food,Restaurant,Burger,",,,,,,,,,,,,,,,,,,,,,,
Veg Burger,ProductType,4,"Inventory,Food,Restaurant,Burger,Vegeterian,",70,,https://drive.google.com/file/d/1d4T4ocGTOibUjikI_CZrc4fkIRChDq8d/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Burger.jpg,70,70,,,,,,,,,,,,,,,,
Veg Cheese Burger,ProductType,5,"Inventory,Food,Restaurant,Burger,Vegeterian,",80,,https://drive.google.com/file/d/1BRIGvcNMtmyGxtykXr10OQnq4woHNBxu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegCheeseBurger.jpg,80,80,,,,,,,,,,,,,,,,
Veg Paneer Burger,ProductType,6,"Inventory,Food,Restaurant,Burger,Vegeterian,",80,,https://drive.google.com/file/d/1W0qC0aKQJPBKfdGU8ITbKCL8XlZVkFCk/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220217/VegPaneerBurger.jpg,80,80,,,,,,,,,,,,,,,,
Veg Paneer Cheese Burger,ProductType,7,"Inventory,Food,Restaurant,Burger,Vegeterian,",99,,https://drive.google.com/file/d/1jtee_ybZ7r8q6O6OSstDsUZ2-KSR9T8i/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/VegPaneerCheeseBurger.jpg,99,99,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,,,,.......
